scene_id,im_id,gt_index,camera_id,model_count,best_score_model,best_score,best_translation_error_mm_model,best_translation_error_mm,best_depth_error_mm_model,best_depth_error_mm,best_rotation_error_deg_model,best_rotation_error_deg,best_center_error_px_model,best_center_error_px,best_gt_bbox_center_error_px_model,best_gt_bbox_center_error_px,best_add_mm_model,best_add_mm,best_pred_bbox_iou_model,best_pred_bbox_iou,best_pred_mask_iou_model,best_pred_mask_iou
1,1020,0,front,4,finetune3,0.1796875,finetune2,27058.1946068278,finetune2,26998.6753416109,finetune2,15.83410789015407,finetune,4.001293412988304,finetune,4.540938067402465,finetune2,27077.275290568603,finetune3,0.5747663551401869,finetune2,0.4548736462093863
1,1025,0,front,4,finetune3,0.15625,finetune3,7442.829687651355,finetune3,7268.205797013099,finetune,2.5489199226359385,original,4.118181321486225,original,5.717358070518234,finetune3,7440.960621796625,finetune,0.6056395586432366,original,0.4185053380782918
1,1030,0,front,4,finetune3,0.15234375,finetune3,5407.939184345547,finetune3,5131.326817606248,finetune,4.31283172332504,finetune2,7.307396998444658,finetune,8.60147057220455,finetune3,5397.166743814053,original,0.6326209930861094,finetune,0.4776494224008036
1,1035,0,front,4,finetune3,0.1484375,original,5460.676305928472,original,5161.068854903329,finetune2,7.999518689294482,finetune2,6.036570913731145,finetune2,7.912428005934858,original,5445.950092184176,original,0.6,finetune,0.4582371942778034
1,1040,0,front,4,finetune3,0.15234375,finetune,6108.296706014955,finetune,5822.775622592191,finetune,7.566485734768529,finetune3,4.920896874789973,finetune3,3.9268970492171285,finetune,6094.172654876353,finetune3,0.708482020312929,finetune3,0.5180995475113123
1,1045,0,front,4,finetune3,0.15234375,finetune,11496.258344519722,finetune,11183.654039574089,original,5.946550920036712,original,7.289608276193288,original,8.066355808817088,finetune,11491.748667225616,original,0.534453781512605,original,0.40939597315436244
1,1050,0,front,4,original,0.16015625,finetune3,108.87485850060365,finetune3,27.25715424286318,finetune2,4.599566242213967,finetune3,2.8039137957080005,finetune3,2.5319227911165925,finetune3,515.8042480046586,finetune3,0.8079930495221547,finetune3,0.6941255908170155
1,1055,0,front,4,finetune3,0.28515625,finetune2,4624.179509825754,finetune2,4587.016658710156,original,11.300961330474253,finetune2,1.1469370065373519,finetune2,0.8707393712060914,finetune2,4630.265936835618,finetune2,0.823593664664118,finetune2,0.7563237774030354
1,1060,0,front,4,finetune3,0.2578125,finetune2,2167.573882048575,finetune2,2167.4880444750743,finetune3,2.4004990341814225,finetune2,0.921459583921332,finetune2,0.6495630318052984,finetune2,3419.37031750087,finetune2,0.8956268221574344,finetune2,0.8460161145926589
1,1065,0,front,4,finetune3,0.2890625,finetune3,5528.923133066151,finetune3,5527.876456419508,finetune3,1.2267497849472757,finetune3,1.5009957128606144,finetune2,1.1224526978829121,finetune3,5527.254281936073,finetune3,0.7141500474833808,finetune3,0.6858375269590223
